policy,seed,train_success,test_success,train_reward,test_reward,train_steps,test_steps,train_survival_seconds,test_survival_seconds,timesteps,checkpoint,metrics_output,traces_output,eval_rollouts,test_horizon_steps,notes
PPO MLP,0,1.00,0.00,250.0,910.6,250.0,910.6,5.0,18.212,81920,artifacts/progress_mlp_128k_seed0.pt,artifacts/results/metrics/ppo_mlp_full_horizon_seed0.json,,20,15000,best local diagnostic checkpoint reevaluated on full paper test horizon
PPO-LSTM warm started,0,1.00,0.00,250.0,912.25,250.0,912.25,5.0,18.245,16384,artifacts/debug_lstm_pretrain_ppo_64k_lr1e5.pt,artifacts/results/metrics/ppo_lstm_warm_start_full_horizon_seed0.json,,20,15000,supervised warm-start checkpoint reevaluated on full paper test horizon
Direct-Opt diagnostic,0,1.00,0.10,250.0,4311,250.0,4311,5.0,86.22,0,,artifacts/results/metrics/direct_opt_seed0_full_horizon.json,,20,15000,bounded direct optimization diagnostic over two-mode CartPole PSM; not paper full Direct-Opt protocol
Programmatic state machine,0,1.00,0.00,250.0,1560.55,250.0,1560.55,5.0,31.211,0,,artifacts/results/metrics/psm_seed0_fixed_program_full_horizon.json,,20,15000,fixed two-mode program reevaluated on full paper test horizon
Synthesized PSM diagnostic,0,0,0,48.05,59.85,48.05,59.85,0.961,1.197,0,,artifacts/results/metrics/psm_seed0_full_horizon.json,artifacts/results/traces/psm_seed0_full_horizon_teacher_traces.json,20,15000,"current probabilistic adaptive-teaching diagnostic uses paper rho=10, rho=10 elite-distribution resamples, and ten teacher trace workers; not paper-scale synthesis"
