policy,hyperparam_mode,hyperparam_sample,jobs_completed,seed_count,seeds_completed,selected_seed_count,selected_seeds,missing_seeds,complete_seed_coverage,train_success_mean,train_success_std,test_success_mean,test_success_std,train_reward_mean,train_reward_std,test_reward_mean,test_reward_std,train_steps_mean,train_steps_std,test_steps_mean,test_steps_std,train_survival_seconds_mean,train_survival_seconds_std,test_survival_seconds_mean,test_survival_seconds_std,minibatches,learning_rate,entropy_coef,update_epochs,clip_range,best_job_id,best_seed,best_train_success,best_test_success,best_train_reward,best_test_reward,best_train_steps,best_test_steps,best_train_survival_seconds,best_test_survival_seconds,best_selected_timesteps,best_output,best_metrics_output,is_best_hyperparam_for_policy
mlp,paper-random,0,2,2,"0,1",2,"0,1",,True,0.3775,0.35001785668734103,0.5,0.7071067811865476,235.2725,16.563976349294883,7701.555,10321.559903234103,235.2725,16.563976349294883,7701.555,10321.559903234103,4.705450000000001,0.3312795269858973,154.0311,206.4311980646821,64,0.002275073436806206,0.1,5,0.2,0,0,0.625,1.0,246.985,15000.0,246.985,15000.0,4.9397,300.0,1000000,artifacts/ppo_sweep_cuda_medium_core/checkpoints/00000_mlp_seed0.pt,artifacts/ppo_sweep_cuda_medium_core/metrics/00000_mlp_seed0.json,True
lstm,paper-random,0,2,2,"0,1",2,"0,1",,True,1.0,0.0,0.5,0.7071067811865476,250.0,0.0,8105.345,9750.514608883472,250.0,0.0,8105.345,9750.514608883472,5.0,0.0,162.1069,195.01029217766944,1,0.0015500577915270816,0.05,36,0.1,2,0,1.0,1.0,250.0,15000.0,250.0,15000.0,5.0,300.0,1000000,artifacts/ppo_sweep_cuda_medium_core/checkpoints/00002_lstm_seed0.pt,artifacts/ppo_sweep_cuda_medium_core/metrics/00002_lstm_seed0.json,True
