policy,jobs_completed,best_job_id,best_seed,best_train_success,best_test_success,best_train_reward,best_test_reward,best_train_steps,best_test_steps,best_train_survival_seconds,best_test_survival_seconds,best_selected_timesteps,best_minibatches,best_learning_rate,best_entropy_coef,best_update_epochs,best_clip_range,best_output,best_metrics_output
mlp,2,0,0,0.625,1.0,246.985,15000.0,246.985,15000.0,4.9397,300.0,1000000,64,0.002275073436806206,0.1,5,0.2,artifacts/ppo_sweep_cuda_medium_core/checkpoints/00000_mlp_seed0.pt,artifacts/ppo_sweep_cuda_medium_core/metrics/00000_mlp_seed0.json
lstm,2,2,0,1.0,1.0,250.0,15000.0,250.0,15000.0,5.0,300.0,1000000,1,0.0015500577915270816,0.05,36,0.1,artifacts/ppo_sweep_cuda_medium_core/checkpoints/00002_lstm_seed0.pt,artifacts/ppo_sweep_cuda_medium_core/metrics/00002_lstm_seed0.json
